label,model_input,model_output,segmented_output,factuality,deberta_finetuned,roberta_finetuned,bart_fintuned,gemma_foundation,gemma_finetuned
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness.  A negative checking account balance, a short loan duration, a low loan amount, and a high installment rate exceeding 50% of disposable income all point towards financial instability.  Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations. 
","A negative checking account balance; a short loan duration; a low loan amount; and a high installment rate exceeding 50% of disposable income all point towards financial instability; Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations","Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations","Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations","Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations","Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations",,"Additionally, being a foreign worker and having a high number of dependents to support further raises concerns about their ability to manage financial obligations"
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The combination of a foreign worker status, low savings balance, and a high loan-to-income ratio suggests potential financial instability. Additionally, the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations. 
","The combination of a foreign worker status;  low savings balance; and a high loan-to-income ratio suggests potential financial instability; Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations","and a high loan-to-income ratio suggests potential financial instability; Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations"," Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations; and a high loan-to-income ratio suggests potential financial instability"," Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations; and a high loan-to-income ratio suggests potential financial instability"," Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations; and a high loan-to-income ratio suggests potential financial instability"," Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations"," Additionally,  the lack of a registered phone number and the presence of other installment plans raise concerns about the customer's ability to manage their financial obligations"
good_credit,Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness: a negative checking account balance, a long loan duration exceeding the majority of cases, a high loan amount exceeding the majority of cases, a low balance in their saving account, and a foreign worker status. These factors suggest potential financial instability and a higher risk of defaulting on loans.  
",a negative checking account balance; a long loan duration exceeding the majority of cases; a high loan amount exceeding the majority of cases; a low balance in their saving account; and a foreign worker status,,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high loan amount and duration, coupled with a foreign worker status, suggest a higher risk profile. Additionally, the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management. 
","The high loan amount and duration; coupled with a foreign worker status, suggest a higher risk profile; Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management","Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management","Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management","Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management","Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management","Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management","Additionally,  the lack of property ownership and the presence of other installment plans raise concerns about financial stability and debt management"
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high loan amount and duration, coupled with a foreign worker status, suggest potential financial instability. The lack of a registered phone number and the presence of other installment plans further raise concerns.  
","The high loan amount and duration; coupled with a foreign worker status, suggest potential financial instability; The lack of a registered phone number and the presence of other installment plans further raise concerns",The lack of a registered phone number and the presence of other installment plans further raise concerns,The lack of a registered phone number and the presence of other installment plans further raise concerns,The lack of a registered phone number and the presence of other installment plans further raise concerns,The lack of a registered phone number and the presence of other installment plans further raise concerns,,The lack of a registered phone number and the presence of other installment plans further raise concerns
good_credit,Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for poor creditworthiness: low balance in both checking and savings accounts, a long loan duration exceeding the majority of cases, a high loan amount exceeding the majority of cases, and a low disposable income installment rate.  Additionally, the customer is a foreign worker, which can be a significant factor in creditworthiness assessments.  The combination of these factors suggests a higher risk of default and therefore a bad credit rating. 
","low balance in both checking and savings accounts; a long loan duration exceeding the majority of cases; a high loan amount exceeding the majority of cases; and a low disposable income installment rate; Additionally, the customer is a foreign worker, which can be a significant factor in creditworthiness assessments",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high loan amount and short loan duration suggest potential risk, while the foreign worker status and lack of a registered phone number raise further concerns.  The combination of these factors points towards a higher likelihood of defaulting on loans. 
","The high loan amount and short loan duration suggest potential risk, while the foreign worker status and lack of a registered phone number raise further concerns",,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for bad credit: low balance in both checking and savings accounts, a shorter loan duration than the average, a lower loan amount than the average, and a foreign worker status. These factors suggest potential financial instability and a higher risk of defaulting on loans. 
",low balance in both checking and savings accounts; a shorter loan duration than the average; a lower loan amount than the average; and a foreign worker status,,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness: a negative checking account balance, a short loan duration, a low loan amount, a low saving account balance, and a foreign worker status. These factors suggest potential financial instability and a lack of financial responsibility. Additionally, the low disposable income and the presence of other debtors further contribute to the negative assessment. 
","a negative checking account balance; a short loan duration; a low loan amount; a low saving account balance; and a foreign worker status; Additionally, the low disposable income and the presence of other debtors further contribute to the negative assessment","Additionally, the low disposable income and the presence of other debtors further contribute to the negative assessment",,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high loan amount, long loan duration, and high installment rate suggest a high risk of default.  Additionally, the foreign worker status and lack of a registered phone number raise concerns about the customer's reliability and ability to manage financial obligations. 
","The high loan amount; long loan duration; and high installment rate suggest a high risk of default; Additionally, the foreign worker status and lack of a registered phone number raise concerns about the customer's reliability and ability to manage financial obligations",,,,,,and high installment rate suggest a high risk of default
good_credit,Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness: a negative checking account balance, a long loan duration exceeding the average, a high loan amount exceeding the average, a short employment history, and a low installment rate compared to the average. Additionally, the foreign worker status and lack of registered phone number further contribute to a negative assessment. 
","a negative checking account balance; a long loan duration exceeding the average; a high loan amount exceeding the average; a short employment history; and a low installment rate compared to the average; Additionally, the foreign worker status and lack of registered phone number further contribute to a negative assessment",,,,,,
