label,model_input,model_output,segmented_output,factuality,deberta_finetuned,roberta_finetuned,bart_fintuned,llama_foundation,llama_finetuned
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a good creditworthiness due to a combination of factors, including a high savings account balance, long-term employment, a high installment rate as a percentage of disposable income, no other debtors, owning a property, being a skilled employee or resident, and having a registered telephone under their name. These attributes suggest that the customer is financially stable, responsible, and has a strong credit profile.","The customer has several red flags, including a high savings account balance;  long-term employment;  a high installment rate as a percentage of disposable income;  no other debtors; owning a property;  being a skilled employee or resident;  and having a registered telephone under their name",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a good creditworthiness due to a combination of factors, including a high salary assignment duration, a short loan duration, a low loan amount, a long-term employment history, a low installment rate as a percentage of disposable income, no other debtors, a property ownership status, an age above the median, no other installment plans, a housing status of being the owner, a job as a skilled employee or resident, a sufficient number of people to provide maintenance, and being a foreign worker.","The customer has several red flags, including a high salary assignment duration;  a short loan duration; a low loan amount; a long-term employment history; a low installment rate as a percentage of disposable income; no other debtors; a property ownership status; an age above the median; no other installment plans; a housing status of being the owner; a job as a skilled employee or resident; a sufficient number of people to provide maintenance; and being a foreign worker",,,"The customer has several red flags, including a high salary assignment duration",,,
good_credit,Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a negative checking account balance, a loan amount higher than 50% of all cases in the bank, a low saving account balance, and a telephone not registered under their name. Additionally, the customer is a foreign worker, which may indicate financial instability or difficulties in managing finances in a new country. These attributes suggest that the customer may not be managing their finances effectively and may be at risk of defaulting on payments.","The customer has several red flags,including a negative checking account balance; a loan amount higher than 50% of all cases in the bank; a low saving account balance; and a telephone not registered under their name. Additionally; the customer is a foreign worker, which may indicate financial instability or difficulties in managing finances in a new country. ",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a high checking account balance, a long-term loan, a high loan amount, a high saving account balance, a stable employment history, a low installment rate, no other debtors, unknown or no property, an age above the average, no other installment plans, non-ownership of housing, a job as a skilled employee or resident, and a registered telephone under their name. Additionally, being a foreign worker is also considered a positive attribute.","The customer has a high checking account balance;  a long-term loan; a high loan amount; a high saving account balance; a stable employment history; a low installment rate; no other debtors; unknown or no property; an age above the average; no other installment plans; non-ownership of housing; a job as a skilled employee or resident; and a registered telephone under their name; Additionally, being a foreign worker is also considered a positive attribute",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a high checking account balance, a long-term loan assignment, a high loan amount, a high saving account balance, long-term employment, a low installment rate, no other debtors, a property in a building society savings agreement or life insurance, an age above the bank's median, no other installment plans, owns their housing, has a job as a skilled employee or resident, has at least one person to provide maintenance, and is a foreign worker, all of which indicate a stable financial situation.",The customer has a high checking account balance; a long-term loan assignment; a high loan amount;  a high saving account balance;  long-term employment; a low installment rate; no other debtors; a property in a building society savings agreement or life insurance; an age above the bank's median; no other installment plans; owns their housing; has a job as a skilled employee or resident; has at least one person to provide maintenance; and is a foreign worker,,,,,,
good_credit,Checking account is low balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a low balance in their checking account, a long loan duration, a high loan amount, a low balance in their saving account, a relatively short employment tenure, a low installment rate as a percentage of disposable income, and a non-skilled job. Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain.","The customer has several red flags, including a low balance in their checking account; a long loan duration; a high loan amount; a low balance in their saving account; a relatively short employment tenure; a low installment rate as a percentage of disposable income; and a non-skilled job;  Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain",,"Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain","Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain","Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain",,"Additionally, the customer has a car as their primary property, is older than the average age, and has a high number of people relying on them for maintenance, which may indicate financial strain"
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a high checking account balance, a long-term salary assignment, a short loan duration, a high loan amount, a high saving account balance, long-term employment, a low installment rate, no other debtors, a property of real estate, an age above the bank's median, no other installment plans, owns their housing, has a job as a skilled employee or resident, has at least one person to provide maintenance, and is a foreign worker, all of which indicate a stable financial situation.",The customer has a high checking account balance; a long-term salary assignment; a short loan duration; a high loan amount; a high saving account balance; long-term employment; a low installment rate; no other debtors; a property of real estate; an age above the bank's median; no other installment plans; owns their housing; has a job as a skilled employee or resident; has at least one person to provide maintenance; and is a foreign worker,,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer's creditworthiness is classified as 'bad credit' due to the presence of several red flags, including a low balance in the checking account, a short loan duration, a low loan amount, a low installment rate as a percentage of disposable income, and a low balance in the saving account. Additionally, the customer's employment status is relatively short-term, and they have a car as their primary property, which may indicate a lack of financial stability.","The customer's creditworthiness is classified as 'bad credit' due to the presence of several red flags, including a low balance in the checking account; a short loan duration; a low loan amount; a low installment rate as a percentage of disposable income; and a low balance in the saving account; Additionally, the customer's employment status is relatively short-term, and they have a car as their primary property, which may indicate a lack of financial stability",,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a negative checking account balance, a short loan duration, a low loan amount, a low savings account balance, a relatively short employment tenure, a low installment rate as a percentage of disposable income, and a non-registered telephone. Additionally, the customer is a foreign worker, which may indicate financial instability. These factors collectively suggest that the customer may not be managing their finances effectively and may be at risk of defaulting on payments.","The customer has several red flags, including a negative checking account balance; a short loan duration; a low loan amount;  a low savings account balance; a relatively short employment tenure; a low installment rate as a percentage of disposable income; and a non-registered telephone; Additionally, the customer is a foreign worker, which may indicate financial instability",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a high checking account balance, a long-term loan assignment, a high loan amount, a high savings account balance, long-term employment, a high installment rate, no other debtors, a property in a building society savings agreement or life insurance, an age above the bank's median, no other installment plans, owns their housing, has a job as a skilled employee or resident, has at least one person to provide maintenance, and is a foreign worker, all of which indicate a stable financial situation.",The customer has a high checking account balance; a long-term loan assignment;  a high loan amount; a high savings account balance; long-term employment;  a high installment rate; no other debtors; a property in a building society savings agreement or life insurance; an age above the bank's median; no other installment plans; owns their housing; has a job as a skilled employee or resident; has at least one person to provide maintenance; and is a foreign worker,,,,,,a high installment rate
